24,2,12669,9656,7561,214,2674,1338
45,1,7057,9810,9568,1762,3293,1776
43,2,6353,8808,7684,2405,3516,7844
42,3,13265,1196,4221,6404,507,1788
36,3,22615,5410,7198,3915,1777,5185
19,4,9413,8259,5126,666,1795,1451
38,2,12126,3199,6975,480,3140,545
21,3,7579,4956,9426,1669,3321,2566
27,2,5963,3648,6192,425,1716,750
45,1,6006,11093,18881,1159,7425,2098
38,1,3366,5403,12974,4400,5977,1744
42,1,13146,1124,4523,1420,549,497
44,4,31714,12319,11757,287,3881,2931
42,2,21217,6208,14982,3095,6707,602
38,3,24653,9465,12091,294,5058,2168
26,2,10253,1114,3821,397,964,412
48,1,1020,8816,12121,134,4508,1080
39,2,5876,6157,2933,839,370,4478
37,2,18601,6327,10099,2205,2767,3181
39,2,7780,2495,9464,669,2518,501
26,3,17546,4519,4602,1066,2259,2124
24,3,5567,871,2010,3383,375,569
46,4,31276,1917,4469,9408,2381,4334
39,4,26373,36423,22019,5154,4337,16523
48,4,22647,9776,13792,2915,4482,5778
40,2,16165,4230,7595,201,4003,57
38,4,9898,961,2861,3151,242,833
29,4,14276,803,3045,485,100,518
24,4,4113,20484,25957,1158,8604,5206
43,1,43088,2100,2609,1200,1107,823
31,3,18815,3610,11107,1148,2134,2963
31,4,2612,4339,3133,2088,820,985
26,2,21632,1318,2886,266,918,405
33,2,29729,4786,7326,6130,361,1083
24,2,1502,1979,2262,425,483,395
42,1,688,5491,11091,833,4239,436
43,1,29955,4362,5428,1729,862,4626
25,3,15168,10556,12477,1920,6506,714
42,2,4591,15729,16709,33,6956,433
28,2,56159,555,902,10002,212,2916
28,1,24025,4332,4757,9510,1145,5864
47,2,19176,3065,5956,2033,2575,2802
48,2,10850,7555,14961,188,6899,46
40,4,630,11095,23998,787,9529,72
28,2,9670,7027,10471,541,4618,65
25,1,5181,22044,21531,1740,7353,4985
32,4,3103,14069,21955,1668,6792,1452
45,4,44466,54259,55571,7782,24171,6465
26,4,11519,6152,10868,584,5121,1476
26,4,4967,21412,28921,1798,13583,1163
31,4,6269,1095,1980,3860,609,2162
49,4,3347,4051,6996,239,1538,301
40,3,40721,3916,5876,532,2587,1278
34,4,491,10473,11532,744,5611,224
36,2,27329,1449,1947,2436,204,1333
20,2,5264,3683,5005,1057,2024,1130
43,4,4098,29892,26866,2616,17740,1340
37,3,5417,9933,10487,38,7572,1282
21,2,13779,1970,1648,596,227,436
49,4,6137,5360,8040,129,3084,1603
42,3,8590,3045,7854,96,4095,225
20,2,35942,38369,59598,3254,26701,2017
47,1,7823,6245,6544,4154,4074,964
22,2,9396,11601,15775,2896,7677,1295
27,2,4760,1227,3250,3724,1247,1145
24,2,85,20959,45828,36,24231,1423
44,4,9,1534,7417,175,3468,27
30,2,19913,6759,13462,1256,5141,834
23,3,2446,7260,3993,5870,788,3095
25,4,8352,2820,1293,779,656,144
47,2,16705,2037,3202,10643,116,1365
48,2,18291,1266,21042,5373,4173,14472
29,2,4420,5139,2661,8872,1321,181
29,2,19899,5332,8713,8132,764,648
21,3,8190,6343,9794,1285,1901,1780
21,3,20398,1137,3,4407,3,975
29,4,717,3587,6532,7530,529,894
45,3,12205,12697,28540,869,12034,1009
33,2,10766,1175,2067,2096,301,167
38,4,1640,3259,3655,868,1202,1653
24,4,7005,829,3009,430,610,529
49,4,219,9540,14403,283,7818,156
24,2,10362,9232,11009,737,3537,2342
28,4,20874,1563,1783,2320,550,772
30,4,11867,3327,4814,1178,3837,120
33,4,16117,46197,92780,1026,40827,2944
25,4,22925,73498,32114,987,20070,903
35,4,43265,5025,8117,6312,1579,14351
27,2,7864,542,4042,9735,165,46
24,2,24904,3836,5330,3443,454,3178
25,2,11405,596,1638,3347,69,360
46,2,12754,2762,2530,8693,627,1117
26,2,9198,27472,32034,3232,18906,5130
38,2,11314,3090,2062,35009,71,2698
47,1,5626,12220,11323,206,5038,244
41,1,3,2920,6252,440,223,709
41,2,23,2616,8118,145,3874,217
28,4,403,254,610,774,54,63
17,2,503,112,778,895,56,132
27,2,9658,2182,1909,5639,215,323
27,1,11594,7779,12144,3252,8035,3029
19,2,1420,10810,16267,1593,6766,1838
27,2,2932,6459,7677,2561,4573,1386
26,4,56082,3504,8906,18028,1480,2498
23,2,14100,2132,3445,1336,1491,548
40,3,15587,1014,3970,910,139,1378
22,4,1454,6337,10704,133,6830,1831
44,3,8797,10646,14886,2471,8969,1438
29,2,1531,8397,6981,247,2505,1236
26,2,1406,16729,28986,673,836,3
